epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,796.907,0.85279,3.44991,0.45473,0.62082,1.38718,0.98832,1,0.99489,0.76223,0.89459,0.88172,0.82975,0.31645,0.92417,2.77338,0.40129,0.40628,1.52121,0.00104537,0.00104537,0.00104537
98,805.178,0.87069,3.45965,0.43594,0.68082,1.40883,0.9932,1,0.995,0.76108,0.85866,0.86022,0.80563,0.31614,0.92069,2.79408,0.40068,0.39809,1.53417,0.000970575,0.000970575,0.000970575
99,813.27,0.86773,3.50384,0.44275,0.62523,1.37348,0.99241,1,0.995,0.77164,0.87017,0.86022,0.82819,0.3134,0.9267,2.82144,0.3974,0.40152,1.52251,0.000898581,0.000898581,0.000898581
100,821.552,0.84572,3.29712,0.44979,0.61129,1.3604,0.9981,1,0.995,0.77684,0.90086,0.87934,0.84798,0.32141,0.93603,2.84111,0.40354,0.40207,1.5269,0.000829431,0.000829431,0.000829431
101,829.653,0.86784,3.53918,0.44609,0.64378,1.38376,0.99864,1,0.995,0.77821,0.93382,0.91041,0.8803,0.32264,0.9357,2.86851,0.40147,0.39866,1.52583,0.000763174,0.000763174,0.000763174
102,838.069,0.86471,3.37821,0.45196,0.62408,1.38218,0.99827,1,0.995,0.77278,0.90143,0.885,0.85411,0.31831,0.95402,2.85149,0.40467,0.39858,1.54658,0.000699855,0.000699855,0.000699855
103,846.219,0.84246,3.30314,0.44709,0.61658,1.36661,0.99856,1,0.995,0.76669,0.89116,0.89247,0.86188,0.32652,0.95495,2.811,0.40973,0.39924,1.54693,0.000639518,0.000639518,0.000639518
104,854.459,0.82801,3.1552,0.44973,0.60543,1.35083,0.99849,1,0.995,0.75778,0.91257,0.91398,0.88463,0.33059,0.96222,2.76251,0.41158,0.40147,1.55804,0.000582203,0.000582203,0.000582203
105,862.606,0.83012,3.49469,0.44991,0.61565,1.35404,0.99834,1,0.995,0.75671,0.90169,0.90323,0.86808,0.32292,0.9648,2.7568,0.40442,0.40399,1.5638,0.00052795,0.00052795,0.00052795
106,870.907,0.82162,3.32207,0.43606,0.59635,1.34878,0.9985,1,0.995,0.75665,0.89095,0.89247,0.86051,0.3288,0.95792,2.75738,0.40311,0.40264,1.55631,0.000476796,0.000476796,0.000476796
107,879.008,0.83173,3.23251,0.44699,0.61662,1.36051,0.99811,1,0.995,0.76557,0.8907,0.89247,0.86107,0.33948,0.93484,2.73319,0.40536,0.39594,1.52911,0.000428777,0.000428777,0.000428777
108,887.397,0.86287,3.36642,0.45373,0.63962,1.37539,0.99819,1,0.995,0.76541,0.91283,0.90077,0.87947,0.33722,0.91673,2.72416,0.40571,0.39329,1.50874,0.000383925,0.000383925,0.000383925
109,895.602,0.85673,3.46545,0.45057,0.62661,1.38512,0.99857,1,0.995,0.76897,0.91272,0.90323,0.87664,0.33993,0.91509,2.72571,0.40347,0.39262,1.5087,0.00034227,0.00034227,0.00034227
110,904.132,0.82721,3.36206,0.44125,0.6212,1.36979,0.99862,1,0.995,0.77306,0.91801,0.90323,0.87357,0.33612,0.93532,2.72574,0.40142,0.396,1.527,0.000303842,0.000303842,0.000303842
111,937.258,0.58929,2.6888,0.44489,0.49509,1.31251,0.99891,1,0.995,0.76349,0.94192,0.93548,0.91763,0.32619,0.96084,2.72232,0.41002,0.40667,1.55226,0.000268667,0.000268667,0.000268667
112,945.216,0.6098,2.56099,0.4536,0.46879,1.3223,0.999,1,0.995,0.74462,0.94121,0.93548,0.91707,0.32936,0.99236,2.72938,0.41864,0.41716,1.58482,0.000236769,0.000236769,0.000236769
113,953.15,0.58286,2.64167,0.44466,0.43083,1.28315,0.99891,1,0.995,0.74287,0.92957,0.92473,0.90319,0.33037,1.0025,2.71121,0.41273,0.42659,1.59795,0.000208169,0.000208169,0.000208169
114,961.137,0.57317,2.50968,0.42878,0.38809,1.28317,0.99909,1,0.995,0.75903,0.9303,0.92473,0.89944,0.34352,0.96459,2.69704,0.40177,0.42783,1.55216,0.000182888,0.000182888,0.000182888
115,969.091,0.57099,2.46403,0.43241,0.38291,1.27439,0.9979,1,0.995,0.76488,0.9265,0.91398,0.88834,0.3478,0.92095,2.70288,0.39772,0.42133,1.50214,0.000160943,0.000160943,0.000160943
116,977.599,0.56392,2.50437,0.4352,0.37192,1.27486,0.99712,1,0.995,0.77532,0.93024,0.91398,0.88673,0.35068,0.87834,2.69481,0.39717,0.41642,1.45828,0.000142348,0.000142348,0.000142348
117,986.034,0.55485,2.49837,0.42599,0.36176,1.27718,0.99794,1,0.995,0.78051,0.93117,0.91398,0.88741,0.35185,0.86234,2.67904,0.39752,0.4146,1.44281,0.000127117,0.000127117,0.000127117
